Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;13.3000001907;4;17.0;1;9.0;10.0;4;20.0;
2;1;7.0;12.3000001907;5;17.0;1;9.0;10.0;5;20.0;
3;1;7.55000019073;11.3000001907;5;17.0;1;9.0;10.0;5;20.0;
4;1;7.55000019073;10.3000001907;4;17.0;1;9.0;10.0;5;20.0;
5;1;7.55000019073;9.30000019073;4;17.0;1;10.0;10.0;5;20.0;
6;1;8.55000019073;8.5;4;17.0;1;11.0;10.0;5;20.0;
7;1;8.82499980927;8.5;4;17.0;1;11.0;10.0;5;20.3999996185;
8;1;8.82499980927;8.5;4;17.0;1;11.1199998856;10.1999998093;4;20.7264003754;
9;1;8.82499980927;8.5;4;17.3400001526;1;11.2179203033;10.3632001877;4;20.9903717041;
10;1;8.9015007019;8.67000007629;4;17.6278438568;1;11.2971115112;10.4951858521;4;22.0419120789;
11;1;8.96626472473;8.81392192841;4;17.869726181;1;11.6125736237;11.0209560394;4;22.9143505096;
12;1;9.02068901062;8.93486309052;4;18.786491394;2;12.1743059158;11.4571752548;3;24.6214065552;
13;1;9.22696018219;9.39324569702;5;19.5780620575;2;14.9125738144;11.8107032776;4;25.2132637501;
14;1;11.0206890106;9.78903102875;5;20.2480106354;2;16.9125728607;12.0916318893;4;25.6832010746;
15;1;12.0206890106;10.1240053177;5;20.8052330017;2;17.9307518005;12.3113050461;4;26.0535256863;
16;1;13.0206890106;10.4026165009;5;21.2618598938;2;18.9401035309;12.4808797836;4;26.1235172749;
17;1;14.0206890106;10.6309299469;5;21.6314201355;2;19.94962883;12.5;4;26.1558350325;
18;1;15.0206890106;10.8157100677;5;21.9274635315;2;20.9593238831;12.5;4;26.1887089014;
19;1;16.0206890106;10.9637317657;5;22.0;2;21.8566131592;12.5;7;26.2221269608;
