Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.3999996185;16.0;4;32.0;1;6.0;12.6999998093;4;21.0;
2;1;11.3999996185;16.0;6;32.0;2;7.0;11.8999996185;4;22.0;
3;1;11.3999996185;16.0;6;32.0;2;8.14999961853;10.6999998093;4;22.0900000334;
4;1;11.3999996185;16.0;6;32.0;2;8.31349945068;10.5;4;22.1871190071;
5;1;12.3999996185;16.0;6;32.0;2;8.32806777954;10.5;4;22.2917383909;
6;1;13.3999996185;16.0;6;32.0;2;9.44064044952;10.5;4;22.4042263031;
7;1;14.3999996185;16.0;6;32.6399993896;2;10.0409517288;10.5;4;22.5249304771;
8;1;14.7919998169;16.3199996948;6;33.0;2;10.0681095123;10.5;4;23.0894187689;
9;1;14.8999996185;16.5;6;34.6500015259;2;10.1951189041;10.7100000381;4;23.5836213827;
10;1;16.7919998169;17.3250007629;6;35.8107757568;2;10.3063154221;10.8792181015;4;23.9926425219;
11;1;17.7919998169;17.9053878784;6;36.5947532654;2;10.3983440399;11.0;4;25.8316864967;
12;1;18.7919998169;18.2973766327;6;37.0;2;10.8121290207;11.7700004578;5;27.4540388584;
13;1;19.7919998169;18.5;7;37.0;2;12.541469574;12.4126424789;5;28.8682081699;
14;1;20.7919998169;18.5;7;37.0;2;14.541469574;12.9308347702;5;30.1005516052;
15;1;21.7919998169;18.5;7;37.0;2;16.541469574;13.3366470337;5;31.1863336563;
16;1;22.7919998169;18.5;7;37.0;2;17.8257961273;13.6469516754;5;32.1621966362;
17;1;23.1000003815;18.5;8;37.0;2;18.9405918121;13.879781723;5;32.9572491646;
18;2;23.1000003815;18.5;7;37.0;2;20.0653820038;14.0;5;33.5542383194;
19;2;23.1000003815;18.5;7;37.0;2;21.1997051239;14.0;5;34.1899633408;
20;2;23.1000003815;18.5;7;37.0;2;21.692741394;14.0;5;34.8591008186;
21;2;23.1000003815;18.5;8;37.0;2;21.843296051;14.0;5;35.5546751022;
22;2;23.1000003815;18.5;8;37.0;2;21.9998016357;14.0;5;36.2682390213;
23;2;23.1000003815;18.5;8;37.0;2;22.1603527069;14.0;6;36.9902019501;
24;2;23.1000003815;18.5;8;37.0;2;22.3227958679;14.0;6;37.7102985382;
25;2;23.1000003815;18.5;8;37.0;2;22.4848175049;14.0;6;38.4181499481;
26;2;23.1000003815;18.5;9;37.0;2;22.6440830231;14.0;6;39.1038570404;
27;2;23.1000003815;18.5;10;37.0;2;22.7983665466;14.0;7;39.758556366;
28;2;23.1000003815;18.5;10;37.0;2;22.9456748962;14.0;7;40.374874115;
29;2;23.1000003815;18.5;10;37.0;3;24.0843467712;14.5;6;41.947227478;
30;2;23.1000003815;18.5;10;37.0;3;23.2131252289;15.0;6;42.631949544;
31;2;23.1000003815;18.5;10;37.0;3;22.5921878815;16.0;6;43.2909904718;
